Animate;Inanimate
guard;suffrage
peoples;incest
uncle;sea
men;demonstrations
workers;definition
fish;experiment
teacher;cosmology
battalion;canon
liberal;portrait
commentators;listing
attorney;protest
founders;suburb
beef;timber
partner;studio
principal;status
victim;compensation
girls;chronicle
communists;convention
coach;formation
president;doctrine
governance;policies
peasant;boat
daughters;vectors
employee;moment
lady;discrimination
master;factors
commanders;panel
delegates;materials
tourists;management
mother;switches
parent;money
commissioner;records
bird;coal
dolphin;needs
viewers;developments
editor;opinion
individual;names
sons;hotel
scholars;octave
chancellor;security
prisoners;thesis
wife;head
couple;stick
lover;groups
musicians;chambers
veterans;technique
elite;boards
couple;privacy
commanders;corruption
dealer;faith
swan;pans
researcher;imperative
bully;specimen
tiger;tracer
confessor;suffrage
grandmother;arteries
shopkeeper;engraving
neighbor;canyon
militarist;wakefulness
supervisor;logarithm
fishermen;outrages
lifeguard;social
catcher;class
maid;coal
dispenser;contentment
sociologist;malady
banker;menu
piers;charity
landlord;meantime
sinner;club
boss;appointment
proprietor;moral
council;siren
postmaster;radius
sister;lips
committee;equal
eyewitness;helicopter
developer;death
referent;lemon
boa;ice
junior;application
amateur;result
misses;findings
husband;correlation
shipmates;orchestra
senator;denial
pilot;existence
pickers;heaven
buyer;agreement
liberals;collaboration
astronomer;country
intellectuals;jacket
grandfathers;defeats
merchants;greetings
salesman;limit
referee;illustration
stewardess;sequence
intruders;hospitality
alcoholics;criterion
missionary;republic
nurse;hope
cobbler;phonology
builder;lingerie
politician;concept
racist;game
reporter;bar
student;press
employers;city
celebrity;cigarette
owner;tradition
humorist;risk
liar;building
nationals;handwriting
millionaire;economy
bishop;lounge
mayor;doubts
artist;benefits
princess;margins
householder;music
gymnast;cartoon
customer;night
pianist;cake
retailers;month
assassins;income
giant;winter
planner;foot
female;airplane
thinker;niche
controller;taint
civilian;essays
craftsman;town
travellers;nuclei
poets;access
analyst;honour
sardines;membrane
preacher;dust
youths;milligrams
planters;fashion
purist;explorations
spectators;quality
instructor;beginning
champions;departure
police;tape
selectors;cerebellum
graduate;cooperative
contender;plane
farmer;ear
descendant;finality
dancers;quote
horse;arcades
